"adm2","total_tillyesterday","today","total_tilltoday","delivered_tilltotday"
"臺北市",144190,1650,145840,157700
"新北市",116615,633,117248,112000
"桃園市",75234,4579,79813,89600
"臺中市",94726,1158,95884,96700
"臺南市",45552,607,46159,48100
"高雄市",86980,152,87132,90200
"新竹縣",14051,198,14249,15200
"彰化縣",29493,1092,30585,36400
"雲林縣",13967,275,14242,14300
"屏東縣",18632,40,18672,19200
"基隆市",10197,388,10585,12700
"宜蘭縣",12656,12,12668,13000
"新竹市",14025,177,14202,13900
"苗栗縣",9710,160,9870,10500
"嘉義市",13133,377,13510,14900
"嘉義縣",10849,121,10970,11500
"花蓮縣",13578,280,13858,15100
"臺東縣",5540,0,5540,5900
"南投縣",10855,279,11134,11200
"澎湖縣",3227,144,3371,3700
"金門縣",2202,118,2320,2500
"連江縣",1586,308,1894,2100
